title,ratings,time_period,image
77. Narcos,8.7 (501K),2015–2017,https://tinyurl.com/26lg3n6k
78. Vinland Saga,8.8 (100K),2019–2023,https://tinyurl.com/22voc2qu
79. Gullak,9.1 (26K),2019– ,https://tinyurl.com/246y6ytg
"80. I, Claudius",8.8 (21K),1976,https://tinyurl.com/2cz3rvco
81. Kota Factory,9.0 (88K),2019–2021,https://tinyurl.com/2xlxyqb4
82. South Park,8.7 (423K),1997– ,https://tinyurl.com/23otawdg
83. Eungdaphara 1988,9.0 (16K),2015–2016,https://tinyurl.com/2af35w8m
84. Black Mirror,8.7 (692K),2011– ,https://tinyurl.com/29vqjld8
85. Pokssak Sogatsuda,9.2 (17K),2025,https://tinyurl.com/27mmbyn9
86. Ted Lasso,8.8 (400K),2020– ,https://tinyurl.com/26h33ful
87. Over the Garden Wall,8.7 (80K),2014,https://tinyurl.com/24q2zau5
88. Peaky Blinders,8.7 (711K),2013–2022,https://tinyurl.com/28fr9v9s
89. Steins;Gate,8.8 (83K),2011–2015,https://tinyurl.com/2a8wjbmp
90. Six Feet Under,8.7 (159K),2001–2005,https://tinyurl.com/28yth9s3
91. Naui ajusshi,9.0 (13K),2018,https://tinyurl.com/27vfbg87
92. Rome,8.7 (195K),2005–2007,https://tinyurl.com/2ylh5msy
93. X-Men '97,8.7 (45K),2024– ,https://tinyurl.com/2ddclufn
94. Oz,8.7 (112K),1997–2003,https://tinyurl.com/23fsbuv9
95. Kenpuu Denki Berserk,8.7 (66K),1997–1998,https://tinyurl.com/28xtqn9w
96. Dark,8.7 (491K),2017–2020,https://tinyurl.com/25e5dz8x
97. Severance,8.7 (315K),2022– ,https://tinyurl.com/2y3rk38y
98. Fleabag,8.7 (227K),2016–2019,https://tinyurl.com/264ogbcm
99. The Shield,8.7 (93K),2002–2008,https://tinyurl.com/28tklnbf
100. Downton Abbey,8.7 (235K),2010–2015,https://tinyurl.com/249skhmr
101. The Grand Tour,8.7 (91K),2016–2024,https://tinyurl.com/2clv9e62
102. Battlestar Galactica,8.7 (182K),2004–2009,https://tinyurl.com/24lsobqd
103. Mad Men,8.7 (275K),2007–2015,https://tinyurl.com/24tca83t
104. Peep Show,8.7 (71K),2003–2015,https://tinyurl.com/26qr258l
105. Blue Eye Samurai,8.7 (91K),2023– ,https://tinyurl.com/2ahe3fqa
106. The Simpsons,8.6 (453K),1989– ,https://tinyurl.com/22hbzddl
107. Invincible,8.7 (274K),2021– ,https://tinyurl.com/2dcoelbw
108. Star Trek: The Next Generation,8.7 (144K),1987–1994,https://tinyurl.com/2ywphhap
109. Monster,8.7 (57K),2004–2005,https://tinyurl.com/29azebq7
110. Naruto: Shippûden,8.7 (198K),2007–2017,https://tinyurl.com/2yqpfk8w
111. House M.D.,8.7 (558K),2004–2012,https://tinyurl.com/29d4af84
112. Arrested Development,8.6 (335K),2003–2019,https://tinyurl.com/286mq6ah
113. One Punch Man: Wanpanman,8.7 (202K),2015– ,https://tinyurl.com/265s67te
114. Justice League Unlimited,8.7 (23K),2004–2006,https://tinyurl.com/24trpsgu
115. The Adventures of Sherlock Holmes,8.7 (26K),1984–1985,https://tinyurl.com/24l8rsx7
116. Mahabharat,8.9 (25K),1988–1990,https://tinyurl.com/27l9qcd7
117. Line of Duty,8.7 (76K),2012–2026,https://tinyurl.com/2c6b84ou
118. Friday Night Lights,8.7 (76K),2006–2011,https://tinyurl.com/2ymvfnu5
119. The Boys,8.6 (776K),2019– ,https://tinyurl.com/22j3fjy4
120. The Last of Us,8.7 (652K),2023– ,https://tinyurl.com/2aqmjho9
121. The Marvelous Mrs. Maisel,8.7 (151K),2017–2023,https://tinyurl.com/24xyzo97
122. Top Gear,8.7 (132K),2002–2022,https://tinyurl.com/2b4rdlmt
123. Stranger Things,8.6 (1.4M),2016–2025,https://tinyurl.com/2ye5f9c7
124. How to with John Wilson,8.7 (16K),2020–2023,https://tinyurl.com/2bgrhfqf
125. The Thick of It,8.7 (28K),2005–2012,https://tinyurl.com/29c393cf
126. 1883: A Yellowstone Origin Story,8.7 (142K),2021–2022,https://tinyurl.com/2abmep3a
127. Behzat Ç.,8.8 (35K),2010–2019,https://tinyurl.com/2d7s2kqv
128. This Is Us,8.7 (168K),2016–2022,https://tinyurl.com/2225lwyw
129. Father Ted,8.6 (46K),1995–1998,https://tinyurl.com/2boel2l2
130. Sarabhai V/S Sarabhai,8.9 (19K),2004–2017,https://tinyurl.com/23tgs757
131. Aspirants,9.2 (316K),2021– ,https://tinyurl.com/24kh2scc
132. Kôdo Giasu: Hangyaku no Rurûshu,8.7 (91K),2006–2008,https://tinyurl.com/2y8u5bv9
133. The Mandalorian,8.6 (624K),2019– ,https://tinyurl.com/2d5jqlud
134. Parks and Recreation,8.6 (303K),2009–2015,https://tinyurl.com/26w3msx4
135. Adventure Time,8.6 (123K),2010–2018,https://tinyurl.com/2683f6pw
136. The X Files,8.6 (262K),1993–2018,https://tinyurl.com/2dcyxeym
